,city,cd,max_flow,offset,occ_scaler,test_mse,rrse,correlation,test_mse_denorm,rrse_denorm,correlation_denorm
38,London,0.676439106464386,0.8748044371604919,0.027082186192274094,2.9788401126861572,0.010998716577887535,0.3770403,0.9817151529740801,21386.423828125,0.3770403,0.981715152753302
39,London,0.6493750214576721,0.8824254274368286,0.032736603170633316,2.978172779083252,0.0098270857706666,0.35639295,0.981072173308809,19108.24609375,0.35639295,0.9810721748903696
40,Marseille,0.6788329482078552,0.7755248546600342,0.02790471352636814,2.9746549129486084,0.021873880177736282,0.5272121,0.9791129858286739,42532.60546875,0.5272121,0.9791129853045075
41,Hamburg,0.8662051558494568,0.8095811605453491,0.036338116973638535,2.9745376110076904,0.00838902872055769,0.314081,0.9832938029979782,16312.021484375,0.314081,0.9832938028506649
42,Darmstadt,0.7482945919036865,0.7448333501815796,0.029561081901192665,2.976112127304077,0.010527698323130608,0.35604063,0.9741748099875784,20470.552734375,0.35604063,0.9741748099589714
43,Bremen,0.7890670299530029,0.7942178845405579,0.02360067516565323,2.977773904800415,0.006658096332103014,0.26204252,0.99595711155657,12946.31640625,0.26204252,0.995957111928717
44,Santander,0.6939632892608643,0.7712777853012085,0.026534512639045715,2.9748077392578125,0.0107117909938097,0.3400845,0.9899357839692898,20828.509765625,0.34008452,0.9899357836493274
45,Madrid,0.711487889289856,0.8365905284881592,0.024518081918358803,2.9730820655822754,0.01898667775094509,0.64001787,0.9446621782096059,36918.59375,0.64001787,0.944662179263275
46,Bern,0.8392317891120911,0.8322176933288574,0.02436506748199463,2.97823429107666,0.0035743059124797583,0.20656933,0.9902221772015142,6950.04931640625,0.20656933,0.9902221776683657
47,Darmstadt,0.7887728810310364,0.7926909327507019,0.02647397480905056,2.9770710468292236,0.0051133353263139725,0.24813327,0.9787342560304702,9942.6103515625,0.24813327,0.9787342562627263
48,Santander,0.7119989991188049,0.8129469156265259,0.029363036155700684,2.9763710498809814,0.007048850413411856,0.27587667,0.9859720613065055,13706.1171875,0.27587667,0.9859720615037361
